Indicador,IndicadorDetalhe,Data,DataReferencia,Media,Mediana,DesvioPadrao,Minimo,Maximo,numeroRespondentes,baseCalculo
Balança comercial,Exportações,2002-01-15,2006,80.05,79.65,7.97,71.0,94.0,,0
Balança comercial,Exportações,2002-01-16,2002,60.72,60.73,1.71,55.02,66.0,,0
Balança comercial,Exportações,2002-01-16,2003,65.76,66.0,2.67,61.0,71.9,,0
Balança comercial,Exportações,2002-01-16,2004,71.08,72.0,4.03,64.0,80.5,,0
Balança comercial,Exportações,2002-01-16,2005,77.17,79.0,5.66,68.0,90.8,,0
Balança comercial,Exportações,2002-01-16,2006,80.05,79.65,7.97,71.0,94.0,,0
Balança comercial,Exportações,2002-01-17,2002,60.76,60.77,1.74,55.02,66.0,,0
Balança comercial,Exportações,2002-01-17,2003,65.7,66.0,2.64,61.0,71.9,,0
Balança comercial,Exportações,2002-01-17,2004,71.08,72.0,4.03,64.0,80.5,,0
Balança comercial,Exportações,2002-01-17,2005,77.17,79.0,5.66,68.0,90.8,,0
Balança comercial,Exportações,2002-01-17,2006,79.33,79.3,7.52,71.0,94.0,,0
Balança comercial,Exportações,2002-01-18,2002,60.71,60.77,1.74,55.02,66.0,,0
Balança comercial,Exportações,2002-01-18,2003,65.62,66.0,2.56,61.0,71.9,,0
Balança comercial,Exportações,2002-01-18,2004,71.08,72.0,4.03,64.0,80.5,,0
Balança comercial,Exportações,2002-01-18,2005,77.17,79.0,5.66,68.0,90.8,,0
Balança comercial,Exportações,2002-01-18,2006,79.33,79.3,7.52,71.0,94.0,,0
Balança comercial,Exportações,2002-01-21,2002,60.78,60.77,1.65,56.8,66.0,,0
Balança comercial,Exportações,2002-01-21,2003,65.62,66.0,2.56,61.0,71.9,,0
Balança comercial,Exportações,2002-01-21,2004,71.08,72.0,4.03,64.0,80.5,,0
Balança comercial,Exportações,2002-01-21,2005,77.17,79.0,5.66,68.0,90.8,,0
Balança comercial,Exportações,2002-01-21,2006,79.33,79.3,7.52,71.0,94.0,,0
Balança comercial,Exportações,2002-01-22,2002,60.76,60.77,1.6400000000000001,56.8,66.0,,0
Balança comercial,Exportações,2002-01-22,2003,65.64,66.0,2.58,61.0,71.9,,0
Balança comercial,Exportações,2002-01-22,2004,71.21,72.05,4.01,64.0,80.5,,0
Balança comercial,Exportações,2002-01-22,2005,77.17,79.0,5.66,68.0,90.8,,0
Balança comercial,Exportações,2002-01-22,2006,79.33,79.3,7.52,71.0,94.0,,0
Balança comercial,Exportações,2002-01-23,2002,60.76,60.77,1.6400000000000001,56.8,66.0,,0
Balança comercial,Exportações,2002-01-23,2003,65.64,66.0,2.58,61.0,71.9,,0
Balança comercial,Exportações,2002-01-23,2004,71.21,72.05,4.01,64.0,80.5,,0
Balança comercial,Exportações,2002-01-23,2005,77.17,79.0,5.66,68.0,90.8,,0
Balança comercial,Exportações,2002-01-23,2006,79.33,79.3,7.52,71.0,94.0,,0
Balança comercial,Exportações,2002-01-24,2002,60.76,60.77,1.6400000000000001,56.8,66.0,,0
Balança comercial,Exportações,2002-01-24,2003,65.61,66.0,2.55,61.0,71.9,,0
Balança comercial,Exportações,2002-01-24,2004,71.21,72.05,4.01,64.0,80.5,,0
Balança comercial,Exportações,2002-01-24,2005,77.17,79.0,5.66,68.0,90.8,,0
Balança comercial,Exportações,2002-01-24,2006,79.33,79.3,7.52,71.0,94.0,,0
Balança comercial,Exportações,2002-01-25,2002,60.74,60.77,1.63,56.8,66.0,,0
